order_date,region,category,sales,profit,month-year
03-01-2019,Central,Office Supplies,16.448,5.5512,Jan-2019
04-01-2019,Central,Office Supplies,3.54,-5.487,Jan-2019
04-01-2019,Central,Office Supplies,11.784,4.2717,Jan-2019
04-01-2019,Central,Office Supplies,272.736,-64.7748,Jan-2019
05-01-2019,East,Office Supplies,19.536,4.884,Jan-2019
06-01-2019,South,Office Supplies,12.78,5.2398,Jan-2019
06-01-2019,West,Office Supplies,19.44,9.3312,Jan-2019
06-01-2019,South,Furniture,2573.82,746.4078,Jan-2019
06-01-2019,South,Office Supplies,5.48,1.4796,Jan-2019
06-01-2019,South,Office Supplies,609.98,274.491,Jan-2019
06-01-2019,South,Office Supplies,31.12,0.3112,Jan-2019
06-01-2019,South,Office Supplies,6.54,3.0084,Jan-2019
06-01-2019,South,Technology,755.96,204.1092,Jan-2019
06-01-2019,South,Technology,391.98,113.6742,Jan-2019
07-01-2019,Central,Furniture,76.728,-53.7096,Jan-2019
07-01-2019,Central,Office Supplies,10.43,-18.2525,Jan-2019
09-01-2019,Central,Office Supplies,9.344,1.168,Jan-2019
09-01-2019,Central,Technology,31.2,9.75,Jan-2019
10-01-2019,South,Furniture,51.94,21.2954,Jan-2019
10-01-2019,South,Office Supplies,2.89,1.3583,Jan-2019
11-01-2019,East,Furniture,9.94,3.0814,Jan-2019
13-01-2019,South,Furniture,545.94,87.3504,Jan-2019
13-01-2019,East,Office Supplies,3.438,-2.5212,Jan-2019
13-01-2019,East,Office Supplies,37.408,13.0928,Jan-2019
13-01-2019,West,Furniture,333.999,3.9294,Jan-2019
13-01-2019,West,Office Supplies,19.9,6.567,Jan-2019
13-01-2019,West,Office Supplies,1325.85,238.653,Jan-2019
13-01-2019,South,Office Supplies,5.64,2.7072,Jan-2019
13-01-2019,South,Office Supplies,50.94,25.47,Jan-2019
13-01-2019,South,Office Supplies,11.36,5.3392,Jan-2019
13-01-2019,South,Office Supplies,572.58,34.3548,Jan-2019
13-01-2019,South,Technology,646.74,258.696,Jan-2019
14-01-2019,East,Furniture,61.96,-53.2856,Jan-2019
15-01-2019,South,Technology,149.95,65.978,Jan-2019
16-01-2019,East,Furniture,127.104,28.5984,Jan-2019
16-01-2019,East,Office Supplies,18.588,-13.6312,Jan-2019
16-01-2019,East,Office Supplies,30.072,10.1493,Jan-2019
16-01-2019,East,Technology,124.2,-31.05,Jan-2019
18-01-2019,West,Office Supplies,64.864,6.4864,Jan-2019
19-01-2019,West,Furniture,181.47,-320.597,Jan-2019
19-01-2019,West,Office Supplies,32.34,-23.716,Jan-2019
19-01-2019,West,Office Supplies,108.72,36.693,Jan-2019
19-01-2019,West,Office Supplies,56.064,19.6224,Jan-2019
20-01-2019,South,Furniture,1067.94,224.2674,Jan-2019
20-01-2019,South,Furniture,38.6,11.58,Jan-2019
20-01-2019,South,Office Supplies,22.96,6.6584,Jan-2019
20-01-2019,South,Office Supplies,6.63,1.7901,Jan-2019
20-01-2019,South,Office Supplies,23.34,10.9698,Jan-2019
20-01-2019,South,Technology,699.93,181.9818,Jan-2019
20-01-2019,South,Office Supplies,67.194,-51.5154,Jan-2019
20-01-2019,West,Furniture,19.3,5.79,Jan-2019
20-01-2019,West,Office Supplies,19.36,9.2928,Jan-2019
20-01-2019,Central,Furniture,14.73,4.8609,Jan-2019
20-01-2019,Central,Furniture,272.94,30.0234,Jan-2019
20-01-2019,Central,Office Supplies,247.716,93.5816,Jan-2019
20-01-2019,Central,Office Supplies,43.92,12.7368,Jan-2019
20-01-2019,Central,Office Supplies,19.05,8.9535,Jan-2019
20-01-2019,Central,Office Supplies,29.7,13.365,Jan-2019
20-01-2019,Central,Office Supplies,13.98,4.0542,Jan-2019
20-01-2019,Central,Office Supplies,66.58,15.9792,Jan-2019
21-01-2019,South,Furniture,25.248,4.1028,Jan-2019
23-01-2019,West,Office Supplies,40.08,19.2384,Jan-2019
23-01-2019,Central,Office Supplies,5.94,0,Jan-2019
26-01-2019,South,Furniture,12.42,4.4712,Jan-2019
26-01-2019,South,Furniture,62.82,30.7818,Jan-2019
26-01-2019,South,Office Supplies,16.68,8.34,Jan-2019
26-01-2019,South,Office Supplies,19.44,9.3312,Jan-2019
26-01-2019,South,Office Supplies,489.92,0,Jan-2019
26-01-2019,South,Technology,187.98,52.6344,Jan-2019
26-01-2019,South,Technology,155.35,0,Jan-2019
26-01-2019,Central,Furniture,141.96,39.7488,Jan-2019
26-01-2019,Central,Office Supplies,10.68,5.0196,Jan-2019
27-01-2019,West,Furniture,333,-16.65,Jan-2019
27-01-2019,West,Office Supplies,36.44,12.0252,Jan-2019
27-01-2019,West,Office Supplies,57.23,14.3075,Jan-2019
28-01-2019,East,Office Supplies,3.928,1.3257,Jan-2019
30-01-2019,Central,Office Supplies,10.56,4.752,Jan-2019
30-01-2019,Central,Office Supplies,229.94,6.8982,Jan-2019
31-01-2019,West,Furniture,290.666,3.4196,Jan-2019
01-02-2019,Central,Technology,468.9,206.316,Feb-2019
02-02-2019,South,Office Supplies,18.336,-12.224,Feb-2019
02-02-2019,South,Technology,180.96,13.572,Feb-2019
02-02-2019,West,Office Supplies,12.35,5.8045,Feb-2019
03-02-2019,West,Office Supplies,13.272,4.3134,Feb-2019
03-02-2019,West,Office Supplies,83.84,27.248,Feb-2019
04-02-2019,West,Office Supplies,17.248,6.0368,Feb-2019
04-02-2019,West,Office Supplies,82.896,29.0136,Feb-2019
04-02-2019,West,Office Supplies,34.24,16.0928,Feb-2019
06-02-2019,Central,Office Supplies,8.952,-14.7708,Feb-2019
06-02-2019,South,Office Supplies,15,7.2,Feb-2019
06-02-2019,South,Technology,144.95,42.0355,Feb-2019
06-02-2019,South,Technology,161.61,42.0186,Feb-2019
07-02-2019,East,Technology,115.36,49.6048,Feb-2019
07-02-2019,East,Office Supplies,64.96,9.744,Feb-2019
08-02-2019,West,Furniture,14.56,5.5328,Feb-2019
11-02-2019,South,Furniture,1256.22,75.3732,Feb-2019
11-02-2019,South,Office Supplies,17.46,8.2062,Feb-2019
11-02-2019,South,Technology,234.45,103.158,Feb-2019
11-02-2019,Central,Furniture,60.89,15.2225,Feb-2019
11-02-2019,Central,Furniture,332.94,53.2704,Feb-2019
11-02-2019,Central,Office Supplies,51.9,24.393,Feb-2019
11-02-2019,Central,Office Supplies,9.64,4.4344,Feb-2019
11-02-2019,Central,Office Supplies,14.94,6.8724,Feb-2019
11-02-2019,Central,Office Supplies,64.96,2.5984,Feb-2019
12-02-2019,West,Furniture,129.568,-24.294,Feb-2019
14-02-2019,Central,Office Supplies,16.176,6.066,Feb-2019
14-02-2019,West,Office Supplies,81.96,22.9488,Feb-2019
14-02-2019,West,Office Supplies,238.62,4.7724,Feb-2019
14-02-2019,West,Technology,239.97,86.3892,Feb-2019
15-02-2019,West,Office Supplies,21.36,7.209,Feb-2019
16-02-2019,Central,Office Supplies,7.96,-13.93,Feb-2019
16-02-2019,Central,Office Supplies,1.08,-1.728,Feb-2019
17-02-2019,Central,Office Supplies,54.208,8.8088,Feb-2019
18-02-2019,Central,Office Supplies,12.624,-2.5248,Feb-2019
18-02-2019,Central,Furniture,25.16,-11.322,Feb-2019
20-02-2019,Central,Furniture,20.32,6.9088,Feb-2019
20-02-2019,Central,Technology,62.31,22.4316,Feb-2019
20-02-2019,West,Office Supplies,12.96,6.2208,Feb-2019
21-02-2019,Central,Office Supplies,8.85,-13.7175,Feb-2019
22-02-2019,West,Office Supplies,19.44,9.3312,Feb-2019
23-02-2019,Central,Office Supplies,4.428,-6.8634,Feb-2019
23-02-2019,Central,Office Supplies,6.936,2.3409,Feb-2019
24-02-2019,West,Office Supplies,22.776,7.6869,Feb-2019
24-02-2019,West,Office Supplies,32.896,11.1024,Feb-2019
27-02-2019,East,Office Supplies,19.456,3.4048,Feb-2019
01-03-2019,West,Furniture,457.568,51.4764,Mar-2019
01-03-2019,Central,Furniture,634.116,-172.1172,Mar-2019
01-03-2019,Central,Office Supplies,17.472,5.6784,Mar-2019
01-03-2019,Central,Furniture,362.25,0,Mar-2019
01-03-2019,Central,Furniture,63.552,-34.9536,Mar-2019
01-03-2019,Central,Office Supplies,18.84,-3.5325,Mar-2019
01-03-2019,Central,Office Supplies,129.552,-22.6716,Mar-2019
01-03-2019,East,Technology,5.94,1.6038,Mar-2019
01-03-2019,Central,Furniture,376.509,-43.0296,Mar-2019
01-03-2019,Central,Office Supplies,137.352,8.5845,Mar-2019
02-03-2019,East,Office Supplies,11.36,5.3392,Mar-2019
02-03-2019,East,Office Supplies,36.4,17.472,Mar-2019
02-03-2019,East,Office Supplies,3.424,1.07,Mar-2019
02-03-2019,East,Technology,151.2,32.13,Mar-2019
03-03-2019,West,Furniture,626.352,-23.4882,Mar-2019
03-03-2019,East,Office Supplies,25.32,9.1785,Mar-2019
03-03-2019,East,Office Supplies,125.76,40.872,Mar-2019
03-03-2019,East,Technology,9.99,4.5954,Mar-2019
03-03-2019,East,Furniture,302.45,-199.617,Mar-2019
03-03-2019,East,Office Supplies,15.12,4.914,Mar-2019
03-03-2019,East,Office Supplies,44.672,-10.0512,Mar-2019
03-03-2019,Central,Office Supplies,176.772,-459.6072,Mar-2019
03-03-2019,South,Office Supplies,19.456,3.4048,Mar-2019
04-03-2019,South,Office Supplies,354.9,17.745,Mar-2019
04-03-2019,South,Office Supplies,15.552,2.3328,Mar-2019
05-03-2019,East,Office Supplies,59.52,15.4752,Mar-2019
05-03-2019,East,Office Supplies,49.632,16.7508,Mar-2019
05-03-2019,East,Office Supplies,97.82,45.9754,Mar-2019
05-03-2019,East,Office Supplies,18.62,5.3998,Mar-2019
05-03-2019,East,Technology,479.97,177.5889,Mar-2019
07-03-2019,West,Furniture,436.704,21.8352,Mar-2019
07-03-2019,West,Furniture,481.568,54.1764,Mar-2019
07-03-2019,West,Office Supplies,20.65,9.499,Mar-2019
07-03-2019,West,Office Supplies,204.9,0,Mar-2019
07-03-2019,West,Office Supplies,107.648,33.64,Mar-2019
07-03-2019,West,Furniture,48.712,5.4801,Mar-2019
07-03-2019,West,Office Supplies,17.94,4.6644,Mar-2019
07-03-2019,West,Office Supplies,242.94,4.8588,Mar-2019
10-03-2019,Central,Office Supplies,22.38,10.7424,Mar-2019
10-03-2019,West,Office Supplies,83.168,9.3564,Mar-2019
10-03-2019,West,Office Supplies,636.408,-15.9102,Mar-2019
11-03-2019,West,Office Supplies,7.98,2.0748,Mar-2019
11-03-2019,South,Office Supplies,146.76,38.1576,Mar-2019
11-03-2019,South,Office Supplies,14.94,7.0218,Mar-2019
11-03-2019,South,Technology,32.96,14.1728,Mar-2019
11-03-2019,South,Technology,587.97,164.6316,Mar-2019
11-03-2019,East,Office Supplies,108.92,49.014,Mar-2019
11-03-2019,East,Furniture,8.32,2.288,Mar-2019
11-03-2019,East,Office Supplies,10.464,1.7004,Mar-2019
14-03-2019,South,Office Supplies,91.056,31.8696,Mar-2019
14-03-2019,West,Office Supplies,33.088,11.1672,Mar-2019
14-03-2019,West,Office Supplies,62.048,20.1656,Mar-2019
14-03-2019,West,Office Supplies,80.98,3.2392,Mar-2019
14-03-2019,West,Office Supplies,21.36,5.7672,Mar-2019
14-03-2019,West,Technology,82.8,6.624,Mar-2019
14-03-2019,South,Furniture,1139.92,284.98,Mar-2019
14-03-2019,Central,Office Supplies,8.448,2.64,Mar-2019
